,영화명,관객수,대표국적,개봉year,개봉month,개봉weekday
256,바니부기: 드래곤 에그를 찾아서,16505,중국,2018,09,3
257,아기곰 보보 구출 대작전,16447,노르웨이,2018,04,3
258,아기돼지 3형제와 쿵푸랜드,16268,중국,2018,02,4
259,위 베어 베어스: 베이비 베어스,16136,미국,2018,05,4
260,군산: 거위를 노래하다,15333,한국,2018,11,4
261,캡틴 샤키,15100,독일,2018,11,4
262,빅 식,15042,미국,2018,07,3
263,토이 가디언즈,14857,중국,2018,03,4
264,너는 여기에 없었다,14487,프랑스,2018,10,4
265,해피 어게인,14344,미국,2018,03,3
266,류이치 사카모토: 코다,14303,일본,2018,06,4
267,유니콘 원정대: 비밀의 다이어리,14261,인도,2018,06,4
268,오직 사랑뿐,14174,영국,2018,02,4
269,"아이, 토냐",14002,미국,2018,03,4
270,꼬마비행기 피티와 친구들:사막구출 대작전,13710,중국,2018,11,4
271,몰리스 게임,12910,미국,2018,09,4
272,서버비콘,12713,미국,2018,07,4
273,더 보이스,12487,미국,2018,08,3
274,아직 끝나지 않았다,12433,프랑스,2018,06,4
275,리틀 맨하탄,11909,미국,2018,06,3
276,토이무비: 미래대모험,11888,중국,2018,10,3
277,케이크메이커,11876,독일,2018,05,4
278,트립 투 스페인,11596,영국,2018,05,4
279,핫 썸머 나이츠,11526,미국,2018,10,4
280,더 게스트,11517,스페인,2018,09,3
281,오 루시!,11424,미국,2018,06,4
282,출동! 소방관 샘: 외계인 대소동,11364,영국,2018,11,4
283,밤쉘,11226,미국,2018,06,4
284,공동정범,11198,한국,2018,01,4
285,28세 미성년,11178,중국,2018,11,3
286,라이크 크레이지,10850,미국,2018,05,3
287,일곱 개의 대죄 : 천공의 포로,10806,일본,2018,11,4
288,더 미드와이프,10791,프랑스,2018,03,4
289,살아남은 아이,10789,한국,2018,08,4
290,택시 5,10768,프랑스,2018,11,4
291,레더페이스,10744,캐나다,2018,01,4
292,갈매기,10719,미국,2018,12,4
293,영웅본색4,10659,중국,2018,03,4
294,알리바이 닷 컴,10616,프랑스,2018,11,3
295,5.18 힌츠페터 스토리,10610,한국,2018,05,4
296,나비잠,10605,한국,2018,09,4
297,프리 스테이트,10541,미국,2018,02,3
298,피의 연대기,10145,한국,2018,01,4
299,잉글랜드 이즈 마인,10092,영국,2018,07,4
